Lake,Date_Sampled,Results,,,,,,,,,,,,,,
Kegonsa,1983-08-01,26.0,,,,,,,,,,,,,,
Kegonsa,1983-09-01,25.0,,,,,,,,,,,,,,
Kegonsa,1983-10-01,27.0,,,,,,,,,,,,,,
Kegonsa,1983-11-01,26.8,,,,,,,,,,,,,,
Kegonsa,1983-12-01,26.0,,,,,,,,,,,,,,
Kegonsa,1984-01-03,29.0,,,,,,,,,,,,,,
Kegonsa,1984-02-01,28.5,,,,,,,,,,,,,,
Kegonsa,1984-03-01,27.0,,,,,,,,,,,,,,
Kegonsa,1984-04-02,24.0,,,,,,,,,,,,,,
Kegonsa,1984-05-01,19.2,,,,,,,,,,,,,,
Kegonsa,1984-06-04,25.2,,,,,,,,,,,,,,
Kegonsa,1984-07-02,25.0,,,,,,,,,,,,,,
Kegonsa,1984-08-01,24.5,,,,,,,,,,,,,,
Kegonsa,1984-09-04,25.0,,,,,,,,,,,,,,
Kegonsa,1984-10-01,27.0,,,,,,,,,,,,,,
Kegonsa,1984-11-01,23.0,,,,,,,,,,,,,,
Kegonsa,1984-12-03,26.0,,,,,,,,,,,,,,
Kegonsa,1985-01-02,30.0,,,,,,,,,,,,,,
Kegonsa,1985-02-04,29.0,,,,,,,,,,,,,,
Kegonsa,1985-03-06,25.0,,,,,,,,,,,,,,
Kegonsa,1985-04-01,25.0,,,,,,,,,,,,,,
Kegonsa,1985-05-01,27.0,,,,,,,,,,,,,,
Kegonsa,1985-06-03,27.0,,,,,,,,,,,,,,
Kegonsa,1985-07-01,27.0,,,,,,,,,,,,,,
Kegonsa,1985-08-01,29.0,,,,,,,,,,,,,,
Kegonsa,1985-09-03,28.0,,,,,,,,,,,,,,
Kegonsa,1985-10-01,26.0,,,,,,,,,,,,,,
Kegonsa,1985-11-04,27.0,,,,,,,,,,,,,,
Kegonsa,1985-12-04,26.0,,,,,,,,,,,,,,
Kegonsa,1986-01-02,29.0,,,,,,,,,,,,,,
Kegonsa,1986-02-03,31.0,,,,,,,,,,,,,,
Kegonsa,1986-03-03,33.0,,,,,,,,,,,,,,
Kegonsa,1986-04-01,22.0,,,,,,,,,,,,,,
Kegonsa,1986-05-01,28.0,,,,,,,,,,,,,,
Kegonsa,1986-06-02,28.5,,,,,,,,,,,,,,
Kegonsa,1986-07-01,27.6,,,,,,,,,,,,,,
Kegonsa,1986-08-04,26.4,,,,,,,,,,,,,,
Kegonsa,1986-09-02,30.0,,,,,,,,,,,,,,
Kegonsa,1986-10-01,28.4,,,,,,,,,,,,,,
Kegonsa,1986-11-03,29.2,,,,,,,,,,,,,,
Kegonsa,1986-12-02,31.4,,,,,,,,,,,,,,
Kegonsa,1987-01-05,30.2,,,,,,,,,,,,,,
Kegonsa,1987-02-02,31.0,,,,,,,,,,,,,,
Kegonsa,1987-03-02,29.3,,,,,,,,,,,,,,
Kegonsa,1987-04-02,30.5,,,,,,,,,,,,,,
Kegonsa,1987-05-04,32.5,,,,,,,,,,,,,,
Kegonsa,1987-06-01,28.8,,,,,,,,,,,,,,
Kegonsa,1987-07-01,28.1,,,,,,,,,,,,,,
Kegonsa,1987-08-03,30.0,,,,,,,,,,,,,,
Kegonsa,1987-09-01,29.4,,,,,,,,,,,,,,
Kegonsa,1987-10-01,31.0,,,,,,,,,,,,,,
Kegonsa,1987-11-03,31.0,,,,,,,,,,,,,,
Kegonsa,1987-12-01,35.3,,,,,,,,,,,,,,
Kegonsa,1988-01-04,31.0,,,,,,,,,,,,,,
Kegonsa,1988-02-02,27.6,,,,,,,,,,,,,,
Kegonsa,1988-03-02,32.3,,,,,,,,,,,,,,
