Date,Lake,Chloride.mgL
7/1/1990,Kegonsa,35.1
8/1/1990,Kegonsa,34.4
9/1/1990,Kegonsa,36.5
11/1/1990,Kegonsa,30.7
12/1/1990,Kegonsa,31.3
1/1/1991,Kegonsa,40.3
2/1/1991,Kegonsa,37.3
4/1/1991,Kegonsa,34.3
5/1/1991,Kegonsa,37.1
6/1/1991,Kegonsa,37.4
7/1/1991,Kegonsa,35.2
8/1/1991,Kegonsa,36.8
9/1/1991,Kegonsa,40.5
10/1/1991,Kegonsa,37.7
11/1/1991,Kegonsa,36.9
12/1/1991,Kegonsa,34.4
1/1/1992,Kegonsa,38.2
2/1/1992,Kegonsa,38
3/1/1992,Kegonsa,34.9
4/1/1992,Kegonsa,35.3
5/1/1992,Kegonsa,34.7
6/1/1992,Kegonsa,35.4
7/1/1992,Kegonsa,39.6
8/1/1992,Kegonsa,38.6
9/1/1992,Kegonsa,38.7
10/1/1992,Kegonsa,38.1
11/1/1992,Kegonsa,39.5
12/1/1992,Kegonsa,37.5
2/1/1993,Kegonsa,39.7
3/1/1993,Kegonsa,34.3
7/1/1993,Kegonsa,39.2
10/1/1993,Kegonsa,37.1
11/1/1993,Kegonsa,36.9
12/1/1993,Kegonsa,38.8
2/1/1994,Kegonsa,38.5
3/1/1994,Kegonsa,40.5
6/1/1994,Kegonsa,38.2
7/1/1994,Kegonsa,37.9
8/1/1994,Kegonsa,38
9/1/1994,Kegonsa,37.1
10/1/1994,Kegonsa,37
11/1/1994,Kegonsa,36.7
12/1/1994,Kegonsa,37.3
1/1/1995,Kegonsa,38.6
3/1/1995,Kegonsa,36.1
4/1/1995,Kegonsa,35.5
5/1/1995,Kegonsa,35.3
6/1/1995,Kegonsa,36.3
7/1/1995,Kegonsa,36.9
8/1/1995,Kegonsa,37.8
9/1/1995,Kegonsa,38.5
10/1/1995,Kegonsa,36.9
1/1/1996,Kegonsa,41.6
2/6/1996,Kegonsa,26.71
3/1/1996,Kegonsa,39.3
4/1/1996,Kegonsa,38.2
5/1/1996,Kegonsa,39
5/1/1996,Kegonsa,37.55
6/1/1996,Kegonsa,34.4
9/1/1996,Kegonsa,38.5
11/1/1996,Kegonsa,36.71
12/1/1996,Kegonsa,40.7
1/1/1997,Kegonsa,43.3
2/1/1997,Kegonsa,42.5
2/20/1997,Kegonsa,42.15
3/1/1997,Kegonsa,38.7
4/1/1997,Kegonsa,43.7
5/1/1997,Kegonsa,34.7
5/5/1997,Kegonsa,41.96
6/1/1997,Kegonsa,41.2
7/1/1997,Kegonsa,37.3
8/4/1997,Kegonsa,42.66
9/1/1997,Kegonsa,48.8
11/25/1997,Kegonsa,35.88
1/1/1998,Kegonsa,49
2/1/1998,Kegonsa,46.6
4/1/1998,Kegonsa,41.7
4/21/1998,Kegonsa,42.98
6/1/1998,Kegonsa,42.1
7/1/1998,Kegonsa,42.7
8/6/1998,Kegonsa,42.75
9/1/1998,Kegonsa,41.2
10/1/1998,Kegonsa,40.6
12/1/1998,Kegonsa,41.2
2/1/1999,Kegonsa,43.9
2/4/1999,Kegonsa,45.43
3/1/1999,Kegonsa,41.5
4/14/1999,Kegonsa,43.59
5/1/1999,Kegonsa,38.8
7/1/1999,Kegonsa,36.9
7/8/1999,Kegonsa,41.53
8/1/1999,Kegonsa,38.5
9/1/1999,Kegonsa,39.6
10/1/1999,Kegonsa,39.7
10/27/1999,Kegonsa,42.25
12/1/1999,Kegonsa,40.9
1/1/2000,Kegonsa,43.1
1/31/2000,Kegonsa,45.2
2/1/2000,Kegonsa,40.2
4/1/2000,Kegonsa,38.9
4/11/2000,Kegonsa,41.41
5/1/2000,Kegonsa,39.1
6/1/2000,Kegonsa,36.3
7/1/2000,Kegonsa,36.3
7/5/2000,Kegonsa,37.33
8/1/2000,Kegonsa,36.3
9/1/2000,Kegonsa,37.1
10/1/2000,Kegonsa,40.8
10/26/2000,Kegonsa,39.47
11/1/2000,Kegonsa,40.9
1/16/2001,Kegonsa,38.78
2/1/2001,Kegonsa,45.6
3/1/2001,Kegonsa,42.4
4/1/2001,Kegonsa,38.9
4/25/2001,Kegonsa,36.79
5/1/2001,Kegonsa,41.1
6/1/2001,Kegonsa,41.3
7/1/2001,Kegonsa,43.4
7/31/2001,Kegonsa,39.49
10/1/2001,Kegonsa,42.7
10/23/2001,Kegonsa,39.23
11/1/2001,Kegonsa,43.1
12/1/2001,Kegonsa,42.9
1/2/2002,Kegonsa,45.2
2/2/2002,Kegonsa,43.5
3/2/2002,Kegonsa,42.7
4/2/2002,Kegonsa,41.9
4/23/2002,Kegonsa,36.63
5/2/2002,Kegonsa,42.8
6/2/2002,Kegonsa,43.1
7/2/2002,Kegonsa,44.7
7/19/2002,Kegonsa,39.67
8/2/2002,Kegonsa,45.1
9/2/2002,Kegonsa,45.5
10/2/2002,Kegonsa,42.3
10/24/2002,Kegonsa,44.99
11/2/2002,Kegonsa,46.5
12/2/2002,Kegonsa,45.1
1/3/2003,Kegonsa,44.1
2/3/2003,Kegonsa,48.1
2/11/2003,Kegonsa,51.02
3/3/2003,Kegonsa,39.2
4/3/2003,Kegonsa,46
4/17/2003,Kegonsa,44.49
5/3/2003,Kegonsa,45.3
6/3/2003,Kegonsa,47
7/3/2003,Kegonsa,42.3
8/3/2003,Kegonsa,43.3
8/7/2003,Kegonsa,44.04
9/3/2003,Kegonsa,43.5
10/3/2003,Kegonsa,43.8
11/3/2003,Kegonsa,43.5
12/3/2003,Kegonsa,44.9
1/4/2004,Kegonsa,46.4
2/4/2004,Kegonsa,47.6
2/12/2004,Kegonsa,51.02
3/4/2004,Kegonsa,41.8
4/4/2004,Kegonsa,43.2
4/15/2004,Kegonsa,44.74
5/4/2004,Kegonsa,43.1
6/4/2004,Kegonsa,39.7
7/4/2004,Kegonsa,43.3
8/4/2004,Kegonsa,40.8
8/4/2004,Kegonsa,44.49
9/4/2004,Kegonsa,40.8
10/4/2004,Kegonsa,41.8
11/4/2004,Kegonsa,45.5
11/10/2004,Kegonsa,4.21
12/4/2004,Kegonsa,42.4
1/5/2005,Kegonsa,46.7
2/5/2005,Kegonsa,46.5
3/2/2005,Kegonsa,44.38
3/5/2005,Kegonsa,45.7
4/5/2005,Kegonsa,41.2
5/5/2005,Kegonsa,41.9
6/5/2005,Kegonsa,43.3
7/5/2005,Kegonsa,45.6
8/4/2005,Kegonsa,46.99
8/5/2005,Kegonsa,44.6
9/5/2005,Kegonsa,45.4
10/5/2005,Kegonsa,48.6
10/26/2005,Kegonsa,18.55
11/5/2005,Kegonsa,48.3
12/5/2005,Kegonsa,50.6
1/6/2006,Kegonsa,49.1
2/6/2006,Kegonsa,49.1
3/6/2006,Kegonsa,46
5/6/2006,Kegonsa,46.1
6/6/2006,Kegonsa,47.5
7/6/2006,Kegonsa,47.9
8/6/2006,Kegonsa,47.7
9/6/2006,Kegonsa,45.9
