time,year,month,sampledate,CL.mean,CL.max,CL.min,scenario,reduction
738,2024,12,2024-12-01,86.26872684322018,86.26872684322018,86.26872684322018,100% Reduction,100%
739,2025,1,2025-01-01,85.63917797917274,86.26872684322018,83.8777953277446,100% Reduction,100%
740,2025,2,2025-02-01,85.04881288829493,86.26872684322018,81.60734309518902,100% Reduction,100%
741,2025,3,2025-03-01,84.04377988491798,86.26872684322018,80.20019260393502,100% Reduction,100%
742,2025,4,2025-04-01,82.91444602928806,86.26872684322018,79.3085766748191,100% Reduction,100%
743,2025,5,2025-05-01,82.13032108998323,86.04502053105391,78.42479757299685,100% Reduction,100%
744,2025,6,2025-06-01,81.50051508607643,85.99428768447784,77.38212610886296,100% Reduction,100%
745,2025,7,2025-07-01,81.07412187273997,85.99428768447784,75.94547051486649,100% Reduction,100%
746,2025,8,2025-08-01,80.7606664866602,85.99428768447784,75.64721194348968,100% Reduction,100%
747,2025,9,2025-09-01,80.22531345692268,85.99428768447784,75.54246468687737,100% Reduction,100%
748,2025,10,2025-10-01,79.59874515819436,85.4698654778881,75.26463414787469,100% Reduction,100%
749,2025,11,2025-11-01,78.89892844185984,83.34623357245523,74.55461511971947,100% Reduction,100%
750,2025,12,2025-12-01,78.29553888508862,82.93973216992497,73.69593600909617,100% Reduction,100%
751,2026,1,2026-01-01,77.98990986963378,82.60523981676394,73.63668901012869,100% Reduction,100%
752,2026,2,2026-02-01,77.6374179293026,82.28033778115763,73.48177570739716,100% Reduction,100%
753,2026,3,2026-03-01,76.9561495138401,82.18249260169698,73.13765845289566,100% Reduction,100%
754,2026,4,2026-04-01,76.15798708553547,80.8205662565764,72.34113280495245,100% Reduction,100%
755,2026,5,2026-05-01,75.57806881305696,80.57692541277714,71.1321781877516,100% Reduction,100%
756,2026,6,2026-06-01,75.07948297285364,80.05074977922087,70.79146282339792,100% Reduction,100%
757,2026,7,2026-07-01,74.72268363776897,80.00822437979353,70.63484173567215,100% Reduction,100%
758,2026,8,2026-08-01,74.46596938568103,79.96562849578453,69.74003704354553,100% Reduction,100%
759,2026,9,2026-09-01,74.01629343668621,79.83161390589231,69.4457314687911,100% Reduction,100%
760,2026,10,2026-10-01,73.51490413689984,79.69888319998847,68.58307252716376,100% Reduction,100%
761,2026,11,2026-11-01,72.9971155874471,78.86502389498092,68.47444930964632,100% Reduction,100%
762,2026,12,2026-12-01,72.55650298087882,78.6264641079075,68.07231586600426,100% Reduction,100%
763,2027,1,2027-01-01,72.32929553396396,78.43681154866685,67.7195428423493,100% Reduction,100%
764,2027,2,2027-02-01,72.0928232492204,78.24913579665335,67.10446273101138,100% Reduction,100%
765,2027,3,2027-03-01,71.522318192234,77.7896150068022,65.94541893784827,100% Reduction,100%
766,2027,4,2027-04-01,70.81852098201004,77.44352555151326,65.72938057284604,100% Reduction,100%
767,2027,5,2027-05-01,70.32139067659635,77.15311775896019,64.31225532650988,100% Reduction,100%
768,2027,6,2027-06-01,69.86323659905302,76.94120816639146,63.161304848363336,100% Reduction,100%
769,2027,7,2027-07-01,69.51013218634854,76.94120816639146,62.611250716993986,100% Reduction,100%
770,2027,8,2027-08-01,69.29102769713998,76.29700741279689,62.611250716993986,100% Reduction,100%
771,2027,9,2027-09-01,68.9612616262069,76.20965055836776,62.610445375611235,100% Reduction,100%
772,2027,10,2027-10-01,68.53353203511357,75.5859614386623,61.66090027652375,100% Reduction,100%
773,2027,11,2027-11-01,68.09743814959826,74.9431518219159,61.49272113342442,100% Reduction,100%
774,2027,12,2027-12-01,67.72027896377067,74.50568099720785,61.33689158703604,100% Reduction,100%
775,2028,1,2028-01-01,67.44469888074403,74.18842859856119,61.33689158703604,100% Reduction,100%
776,2028,2,2028-02-01,67.21430454941726,74.18842859856119,61.33689158703604,100% Reduction,100%
777,2028,3,2028-03-01,66.78528333248143,73.76202277117466,60.97555510684175,100% Reduction,100%
778,2028,4,2028-04-01,66.18814275246703,73.29321888233133,60.04943566691093,100% Reduction,100%
779,2028,5,2028-05-01,65.76966054806398,72.9181366260408,59.355211692363575,100% Reduction,100%
780,2028,6,2028-06-01,65.43439917167736,72.5927537206697,58.353375498905635,100% Reduction,100%
781,2028,7,2028-07-01,65.12981409424219,72.5927537206697,57.84552939835665,100% Reduction,100%
782,2028,8,2028-08-01,64.92022580993303,72.49802013486024,57.84552939835665,100% Reduction,100%
783,2028,9,2028-09-01,64.62573144983828,72.16143178829131,57.33937413023732,100% Reduction,100%
784,2028,10,2028-10-01,64.21117451006057,71.66178744291047,56.837833098402186,100% Reduction,100%
785,2028,11,2028-11-01,63.74861056216902,71.31972229284466,56.674048259263,100% Reduction,100%
786,2028,12,2028-12-01,63.38470536646067,71.23494319817692,56.16808117063018,100% Reduction,100%
787,2029,1,2029-01-01,63.17877582629001,71.23494319817692,55.76341080459092,100% Reduction,100%
788,2029,2,2029-02-01,62.923379745913635,71.23494319817692,55.49669279544044,100% Reduction,100%
789,2029,3,2029-03-01,62.492116103883625,71.23494319817692,55.23341844030502,100% Reduction,100%
790,2029,4,2029-04-01,61.98802537315351,71.23494319817692,55.171618032086,100% Reduction,100%
791,2029,5,2029-05-01,61.58251885189139,71.23494319817692,55.171618032086,100% Reduction,100%
792,2029,6,2029-06-01,61.24596843762886,70.40545556452112,55.171618032086,100% Reduction,100%
793,2029,7,2029-07-01,61.00609619338522,69.5886191630875,54.97255419100196,100% Reduction,100%
794,2029,8,2029-08-01,60.82253497340046,69.5886191630875,54.67761777777354,100% Reduction,100%
795,2029,9,2029-09-01,60.535163798302214,69.5886191630875,54.34063523075666,100% Reduction,100%
796,2029,10,2029-10-01,60.156155687052554,69.28224615798887,54.000436513211795,100% Reduction,100%
797,2029,11,2029-11-01,59.74889964423554,68.71570427820737,53.82415377579829,100% Reduction,100%
798,2029,12,2029-12-01,59.41353325243583,68.2767112536639,53.404946604694224,100% Reduction,100%
799,2030,1,2030-01-01,59.225078999302006,68.09890747140112,53.081250570587365,100% Reduction,100%
800,2030,2,2030-02-01,59.006916760994805,67.64057239980401,52.858278720527245,100% Reduction,100%
801,2030,3,2030-03-01,58.54200507993711,67.17826590480524,52.10328455776435,100% Reduction,100%
802,2030,4,2030-04-01,58.008668488085405,66.97754477355578,51.403503520253324,100% Reduction,100%
803,2030,5,2030-05-01,57.60879299182328,66.78488073716579,50.820315706892835,100% Reduction,100%
804,2030,6,2030-06-01,57.29263839905205,66.78488073716579,50.412330969810554,100% Reduction,100%
805,2030,7,2030-07-01,57.043644932582644,66.78488073716579,50.127753977540415,100% Reduction,100%
806,2030,8,2030-08-01,56.878950367728855,66.62334949605543,49.84482612212184,100% Reduction,100%
807,2030,9,2030-09-01,56.605394520111204,66.46201316534025,49.49325857716376,100% Reduction,100%
808,2030,10,2030-10-01,56.24988417169312,66.31085573873935,48.89648317171789,100% Reduction,100%
809,2030,11,2030-11-01,55.899589869636756,66.08980429935994,48.559957108309014,100% Reduction,100%
810,2030,12,2030-12-01,55.57429524320831,65.86171342521504,48.354374232575836,100% Reduction,100%
811,2031,1,2031-01-01,55.38623863637962,65.70428579454708,48.239034492108594,100% Reduction,100%
812,2031,2,2031-02-01,55.18030991180862,65.57295942248298,48.142852929437865,100% Reduction,100%
813,2031,3,2031-03-01,54.740961730794936,65.37208011149293,47.5699767315988,100% Reduction,100%
814,2031,4,2031-04-01,54.25404292127351,65.30233185919933,46.97674409276666,100% Reduction,100%
815,2031,5,2031-05-01,53.9202104156198,64.31963219286334,46.69475121866351,100% Reduction,100%
816,2031,6,2031-06-01,53.61139510855705,62.80017460593977,46.59843275141879,100% Reduction,100%
817,2031,7,2031-07-01,53.37702771998507,62.253472584270014,46.19068581191567,100% Reduction,100%
818,2031,8,2031-08-01,53.18752601261144,61.46535637630175,45.64796215198791,100% Reduction,100%
819,2031,9,2031-09-01,52.89142638590442,60.48911105586386,45.39771546092592,100% Reduction,100%
820,2031,10,2031-10-01,52.5776496332663,59.73658895524735,45.089943833506936,100% Reduction,100%
821,2031,11,2031-11-01,52.27345223861758,59.18672338679669,44.81789999451053,100% Reduction,100%
822,2031,12,2031-12-01,51.966311705486916,59.11780957739813,44.59506910236911,100% Reduction,100%
823,2032,1,2032-01-01,51.75250326710997,58.9848776305588,44.24786859170222,100% Reduction,100%
824,2032,2,2032-02-01,51.564765418240846,58.92061529849827,44.008336541443704,100% Reduction,100%
825,2032,3,2032-03-01,51.223991338724744,58.90508537478679,43.68891883344669,100% Reduction,100%
826,2032,4,2032-04-01,50.77194624389235,58.89869092631619,42.83453842455741,100% Reduction,100%
827,2032,5,2032-05-01,50.41982270234269,58.89869092631619,42.24237355404339,100% Reduction,100%
828,2032,6,2032-06-01,50.12027828367243,58.89869092631619,42.18098249444845,100% Reduction,100%
829,2032,7,2032-07-01,49.86527552342534,58.89869092631619,42.005298373223816,100% Reduction,100%
830,2032,8,2032-08-01,49.71057102831429,58.89869092631619,41.917414883630336,100% Reduction,100%
831,2032,9,2032-09-01,49.50164992167713,58.89869092631619,41.5752267476676,100% Reduction,100%
832,2032,10,2032-10-01,49.222983254872666,58.675226425692124,41.46767103208498,100% Reduction,100%
833,2032,11,2032-11-01,48.866359841111795,58.45265829995413,41.0452259857054,100% Reduction,100%
834,2032,12,2032-12-01,48.56152008440377,58.182197365014254,40.694683315148765,100% Reduction,100%
